"source","job_url","job_title","job_company","posted_at"
"linkedin","https://www.linkedin.com/jobs/view/3628336152","Biodiversity Superintendent","Eramet",2023-06-12 11:34:27
"linkedin","https://www.linkedin.com/jobs/view/3603691041","Mine Engineer Group Leader","PT Ricobana Abadi",2023-06-12 11:34:30
"linkedin","https://www.linkedin.com/jobs/view/3597722208","Senior Analyst Climate and Energy, Indonesia","Ember",2023-06-12 11:34:36
"linkedin","https://www.linkedin.com/jobs/view/3602018128","Production Manager - Coal","Michael Page",2023-06-12 11:34:40
"linkedin","https://www.linkedin.com/jobs/view/3575869178","Operation Manager - Nickel Mining","Michael Page",2023-06-12 11:34:44
"linkedin","https://www.linkedin.com/jobs/view/3575868235","Production Manager - Coal Mining","Michael Page",2023-06-12 11:34:48
"linkedin","https://www.linkedin.com/jobs/view/3616466746","Team Manager Development (Coal Mining, East Kalimantan)","Robert Walters",2023-06-12 11:34:55
"linkedin","https://www.linkedin.com/jobs/view/3616465812","Team Manager Production (Coal Mining, East Kalimantan)","Robert Walters",2023-06-12 11:35:00
"linkedin","https://www.linkedin.com/jobs/view/3575867179","Operations Manager - Greenfield Coal Mining","Michael Page",2023-06-12 11:35:05
"linkedin","https://www.linkedin.com/jobs/view/3629941261","EOI - Senior Engineer Planning Assets","Thiess",2023-06-12 11:43:15
"linkedin","https://www.linkedin.com/jobs/view/3600885712","Mine Engineering Manager","Michael Page",2023-06-12 11:45:19
"linkedin","https://www.linkedin.com/jobs/view/3629504850","Project Engineer","PT Bhumi Phala Perkasa",2023-06-12 12:16:13
"linkedin","https://www.linkedin.com/jobs/view/3629938705","EOI - Engineer Assets","Thiess",2023-06-12 12:16:18
"linkedin","https://www.linkedin.com/jobs/view/3610958121","Smelter Operation Readiness - Engineer Network, Wireless and Control Systems","Freeport Indonesia",2023-06-12 12:16:22
"linkedin","https://www.linkedin.com/jobs/view/3610952924","Smelter Operation Readiness - Engineer Radio Systems","Freeport Indonesia",2023-06-12 12:16:28
"linkedin","https://www.linkedin.com/jobs/view/3597005730","Sales Engineer","PT. EGA MEKINKA GRUP",2023-06-12 12:16:33
"linkedin","https://www.linkedin.com/jobs/view/3622532530","Method Maintenance Engineer M/W","Eramet",2023-06-12 12:16:40
"linkedin","https://www.linkedin.com/jobs/view/3478747341","Associate Production Engineer","McDermott International, Ltd",2023-06-12 12:16:44
"linkedin","https://www.linkedin.com/jobs/view/3575824878","Process Engineer M/W","Eramet",2023-06-12 12:16:47
"linkedin","https://www.linkedin.com/jobs/view/3621359485","FMS Engineer H/F","Eramet",2023-06-12 12:16:54
"linkedin","https://www.linkedin.com/jobs/view/3611683045","Principal Engineer","AgriAku",2023-06-12 12:17:00
"linkedin","https://www.linkedin.com/jobs/view/3609410744","Engineering Manager - Mining","Michael Page",2023-06-12 12:17:06
"linkedin","https://www.linkedin.com/jobs/view/3612523570","Engineer, RCM Tibology LL #2","Freeport Indonesia",2023-06-12 12:17:09
"linkedin","https://www.linkedin.com/jobs/view/3625548755","Chief Mining Engineer - Nickel Mining","Michael Page",2023-06-12 12:17:15
"linkedin","https://www.linkedin.com/jobs/view/3610960481","Smelter Operation Readiness - Engineer Systems Management","Freeport Indonesia",2023-06-12 12:17:20
"linkedin","https://www.linkedin.com/jobs/view/3633605508","Technical Expert, Support Equipment Maintenance","Freeport-McMoRan",2023-06-12 12:17:26
"linkedin","https://www.linkedin.com/jobs/view/3617606538","Sr. Electrical/Instrument Engineer (Third-Party Contract Employee)","Petrochina International Jabung Ltd.",2023-06-12 12:17:30
"linkedin","https://www.linkedin.com/jobs/view/3622682293","Senior Mechanical Engineer/RE/SME-Cyanide","Orica",2023-06-12 12:17:35
"linkedin","https://www.linkedin.com/jobs/view/3364201373","Senior Production Engineer","McDermott International, Ltd",2023-06-12 12:17:38
"linkedin","https://www.linkedin.com/jobs/view/3618909877","Supervisor Mine Plan Engineer (for Coal)","PT. Bintang Mining Indonesia",2023-06-12 12:17:43
"linkedin","https://www.linkedin.com/jobs/view/3622531739","IT/OT Operational Build Lead Engineer M/W","Eramet",2023-06-12 12:17:49
"linkedin","https://www.linkedin.com/jobs/view/3575869197","Civil & Structural Engineer - Smelter Projects","Michael Page",2023-06-12 12:17:53
"linkedin","https://www.linkedin.com/jobs/view/3632125275","Security Engineering","AgriAku",2023-06-12 12:29:58
"linkedin","https://www.linkedin.com/jobs/view/3627190890","Material Engineer","PT Gotion Indonesia Materials",2023-06-12 12:30:02
"linkedin","https://www.linkedin.com/jobs/view/3623066518","Structural Engineer","McDermott International, Ltd",2023-06-12 12:30:09
"linkedin","https://www.linkedin.com/jobs/view/3629154158","Devops Engineer","AgriAku",2023-06-12 12:30:15
"linkedin","https://www.linkedin.com/jobs/view/3569663200","Technical Expert, Mill Mechanical Project and Shutdown","Freeport-McMoRan",2023-06-12 12:30:21
"linkedin","https://www.linkedin.com/jobs/view/3506333913","Senior Production Engineer","McDermott International, Ltd",2023-06-12 12:30:25
"linkedin","https://www.linkedin.com/jobs/view/3627188967","Battery Engineer","PT Gotion Indonesia Materials",2023-06-12 12:30:31
"linkedin","https://www.linkedin.com/jobs/view/3612476931","Senior Mining Engineer | Nickel West | Mt Keith | 5:2/4:3 or 7:7","BHP",2023-06-12 12:30:37
"linkedin","https://www.linkedin.com/jobs/view/3598332958","Geotek Engineer Supervisor","PT Mifa Bersaudara",2023-06-12 12:30:42
"linkedin","https://www.linkedin.com/jobs/view/3628932447","Top Drive Engineer","PT Bohai Drilling Service Indonesia",2023-06-12 12:30:47
"linkedin","https://www.linkedin.com/jobs/view/3615348348","Mine Geotechnics Engineer M/W","Eramet",2023-06-12 12:30:52
"linkedin","https://www.linkedin.com/jobs/view/3627191701","Mining Engineer","PT Gotion Indonesia Materials",2023-06-12 12:30:56
"linkedin","https://www.linkedin.com/jobs/view/3612268000","Reliability Engineer - Drilling Services","Baker Hughes",2023-06-12 12:31:00
"linkedin","https://www.linkedin.com/jobs/view/3596657719","Senior Backend Engineer","AgriAku",2023-06-12 12:31:04
"linkedin","https://www.linkedin.com/jobs/view/3622532543","Supply Chain Office Harbour M/W","Eramet",2023-06-12 12:31:09
"linkedin","https://www.linkedin.com/jobs/view/3627193414","Battery Technical Support Engineer","PT Gotion Indonesia Materials",2023-06-12 12:31:15
"linkedin","https://www.linkedin.com/jobs/view/3627195130","Equipment Engineer","PT Gotion Indonesia Materials",2023-06-12 12:31:22
"linkedin","https://www.linkedin.com/jobs/view/3562206997","Full Stack Software Engineer","SLB",2023-06-12 12:31:28
"linkedin","https://www.linkedin.com/jobs/view/3575829352","Geostatistical Specialist","Eramet",2023-06-12 12:31:32
"linkedin","https://www.linkedin.com/jobs/view/3607286849","Senior Electrical Engineer","PT. Bumi Mineral Sulawesi",2023-06-12 12:31:39
"linkedin","https://www.linkedin.com/jobs/view/3607292315","Senior Control Instrument Engineer","PT. Bumi Mineral Sulawesi",2023-06-12 12:31:44
"linkedin","https://www.linkedin.com/jobs/view/3598338185","MINE PLAN ENGINEER","PT Mitra Abadi Mahakam",2023-06-12 12:31:51
"linkedin","https://www.linkedin.com/jobs/view/3590944875","Mineplan Engineer","PT Bima Putra Abadi Citranusa (Bomba Grup) - Site Lahat, Sumatra Selatan",2023-06-12 12:31:56
"linkedin","https://www.linkedin.com/jobs/view/3627191709","Geological Engineer","PT Gotion Indonesia Materials",2023-06-12 12:32:03
"linkedin","https://www.linkedin.com/jobs/view/3628891786","Technical Support Specialist - Artificial Lift","Baker Hughes",2023-06-12 12:32:07
"linkedin","https://www.linkedin.com/jobs/view/3575824884","VIE Short Term Mine Planning Engineer _ M/F","Eramet",2023-06-12 12:32:14
"linkedin","https://www.linkedin.com/jobs/view/3627194318","Smelting Process Engineer","PT Gotion Indonesia Materials",2023-06-12 12:32:20
"linkedin","https://www.linkedin.com/jobs/view/3627194316","Sales Engineer","PT Gotion Indonesia Materials",2023-06-12 12:32:25
"linkedin","https://www.linkedin.com/jobs/view/3621360441","Supervisor and QC leveling - earth works","Eramet",2023-06-12 12:32:30
"linkedin","https://www.linkedin.com/jobs/view/2945729674","Technical Expert, Ore Flow & Mill Maintenance Planning","Freeport-McMoRan",2023-06-12 12:32:34
"linkedin","https://www.linkedin.com/jobs/view/3622535078","Manager Batching Plant","Eramet",2023-06-12 12:32:39
"linkedin","https://www.linkedin.com/jobs/view/3600826406","Senior Data Engineer - Global Mining","Michael Page",2023-06-12 12:32:44
"linkedin","https://www.linkedin.com/jobs/view/3361659375","Business Development Assistant Manager (Renewable Energy Consulting)","Syntek Energy & Control",2023-06-12 12:32:50
"linkedin","https://www.linkedin.com/jobs/view/3620854378","SITE PLANNER M/W","Eramet",2023-06-12 12:32:54
"linkedin","https://www.linkedin.com/jobs/view/3627576407","Technical Expert, High Voltage Power Distribution","Freeport-McMoRan",2023-06-12 12:33:01
"linkedin","https://www.linkedin.com/jobs/view/3561690975","Technical Expert, Mass Excavation","Freeport-McMoRan",2023-06-12 12:33:07
"linkedin","https://www.linkedin.com/jobs/view/3614772149","Technical Expert, Metallurgy Comminution","Freeport-McMoRan",2023-06-12 12:33:10
"linkedin","https://www.linkedin.com/jobs/view/3006367791","Technical Expert, Grasberg & Underground Blasting Specialist","Freeport-McMoRan",2023-06-12 12:33:15
"linkedin","https://www.linkedin.com/jobs/view/3627277510","Technical Expert, Planning Support and SAP Integration","Freeport-McMoRan",2023-06-12 12:33:22
"linkedin","https://www.linkedin.com/jobs/view/3417269847","Technical Expert, Big Gossan Development","Freeport-McMoRan",2023-06-12 12:33:26
"linkedin","https://www.linkedin.com/jobs/view/3573615369","Human Resources Generalist","McDermott International, Ltd",2023-06-12 12:33:30
"linkedin","https://www.linkedin.com/jobs/view/3631422784","Technical Expert, Geotechnical Analysis Support Systems","Freeport-McMoRan",2023-06-12 12:33:36
"linkedin","https://www.linkedin.com/jobs/view/3631423797","Technical Expert, Geotechnical Analysis Monitoring Systems","Freeport-McMoRan",2023-06-12 12:33:41
"linkedin","https://www.linkedin.com/jobs/view/3301049704","Technical Expert, Underground Mining Training Specialist","Freeport-McMoRan",2023-06-12 12:33:46
"linkedin","https://www.linkedin.com/jobs/view/3622529959","SENIOR PROCUREMENT MANAGER M/W","Eramet",2023-06-12 12:33:53
"linkedin","https://www.linkedin.com/jobs/view/3587518230","Manager Concentrating Expansion","Freeport-McMoRan",2023-06-12 12:34:00
"linkedin","https://www.linkedin.com/jobs/view/3622532549","Area construction Manager (for HPAL or Permanent facilities, SAP power, Dewatering plant)","Eramet",2023-06-12 12:34:04
"linkedin","https://www.linkedin.com/jobs/view/3623880926","Short Term Mine Planning Superintendent","Eramet",2023-06-12 12:34:09
"linkedin","https://www.linkedin.com/jobs/view/3625024722","Content (Marketing) Manager for B2B Engineering Related Company","Pt Best / Doctor Accu",2023-06-12 12:34:14
"linkedin","https://www.linkedin.com/jobs/view/3610957168","Smelter Operation Readiness - Superintendent Systems Management","Freeport Indonesia",2023-06-12 12:42:46
"linkedin","https://www.linkedin.com/jobs/view/3317304719","Technical Advisor, Risk Assurance and Compliance","Freeport-McMoRan",2023-06-12 12:42:52
"linkedin","https://www.linkedin.com/jobs/view/3612832706","IP-ES Project Specialist, Operations","CEVA Logistics",2023-06-12 12:42:59
"linkedin","https://www.linkedin.com/jobs/view/3575865601","Operation Assistant Manager PLTU","Michael Page",2023-06-12 12:43:04
"linkedin","https://www.linkedin.com/jobs/view/3627319591","Superintendent Civil Operations","Thiess",2023-06-12 12:43:09
"linkedin","https://www.linkedin.com/jobs/view/3605871146","Operation Director - Indonesia","Tetra Tech",2023-06-12 12:43:15
"linkedin","https://www.linkedin.com/jobs/view/3583054097","Finance Support (Yogyakarta)","PT Blue Gas Indonesia",2023-06-12 12:43:22
"linkedin","https://www.linkedin.com/jobs/view/3609973742","Senior Specialist Project Management & Specialist Project Management | Nickel West | 5:2:4:3","BHP",2023-06-12 12:43:26
"linkedin","https://www.linkedin.com/jobs/view/3602682512","Inside Sales Specialist APAC","MSA - The Safety Company",2023-06-12 12:43:30
"linkedin","https://www.linkedin.com/jobs/view/3605103826","Legal Manager (Mining)","Michael Page",2023-06-12 12:43:35
"linkedin","https://www.linkedin.com/jobs/view/3622529943","Responsible Mining Manager M/W","Eramet",2023-06-12 12:43:39
"linkedin","https://www.linkedin.com/jobs/view/3609462916","Asset Operations Manager - Mining Contractor","Page Executive",2023-06-12 12:43:46
"linkedin","https://www.linkedin.com/jobs/view/3617645535","Electrical Superintendent","Oil States International",2023-06-12 12:43:50
"linkedin","https://www.linkedin.com/jobs/view/3575868205","Senior Project manager - Energy & Petrochemical","Michael Page",2023-06-12 12:43:56
"linkedin","https://www.linkedin.com/jobs/view/3575865521","Infrastructure Senior Manager - Mining Company (Open for Expat)","Michael Page",2023-06-12 12:44:03
"linkedin","https://www.linkedin.com/jobs/view/3610955270","Smelter Operation Readiness - Superintendent End User Computing","Freeport Indonesia",2023-06-12 12:44:10
"linkedin","https://www.linkedin.com/jobs/view/3612737905","Associate Travel Administrator","McDermott International, Ltd",2023-06-12 12:44:16
"linkedin","https://www.linkedin.com/jobs/view/3621359486","Hydrology Specialist M/W","Eramet",2023-06-12 12:44:21
"linkedin","https://www.linkedin.com/jobs/view/3629693885","Turnaround Lead Scheduler","bp",2023-06-12 12:44:26
"linkedin","https://www.linkedin.com/jobs/view/3614247973","Expression of Interest - Truck Rebuild Centre Manager","Thiess",2023-06-12 12:44:32
"linkedin","https://www.linkedin.com/jobs/view/3575863832","Sr. Construction Manager - Power Plant (Open for Expatriate)","Michael Page",2023-06-12 12:44:39
"linkedin","https://www.linkedin.com/jobs/view/3624430825","Coiled Tubing Operation Manager - O&G Service","Michael Page",2023-06-12 12:44:46
"linkedin","https://www.linkedin.com/jobs/view/3614245983","Expression of Interest Manager Truck Rebuild Centre","Thiess",2023-06-12 12:44:49
"linkedin","https://www.linkedin.com/jobs/view/3575863794","Project Manager - Industrial Buildings","Michael Page",2023-06-12 12:44:53
"linkedin","https://www.linkedin.com/jobs/view/3617846989","Expression of Interest - Truck Rebuild Centre Manager","Thiess",2023-06-12 12:44:57
"linkedin","https://www.linkedin.com/jobs/view/3567958791","Maintenance Manager (Jakarta)","Michael Page",2023-06-12 12:45:00
"linkedin","https://www.linkedin.com/jobs/view/3562441557","Principal Consultant - Social Impact Assessment","ERM",2023-06-12 12:45:06
"linkedin","https://www.linkedin.com/jobs/view/3596366115","Logistics Manager","Baker Hughes",2023-06-12 12:45:11
"linkedin","https://www.linkedin.com/jobs/view/3623559498","Sumatera Area Sales Representative - Completions and Well Intervention (CWI)","Baker Hughes",2023-06-12 12:45:18
"linkedin","https://www.linkedin.com/jobs/view/3603690231","Lead 3D Designer SPPID","PT. Ceria Utama Abadi",2023-06-12 12:45:22
"linkedin","https://www.linkedin.com/jobs/view/3619671490","KTT - Tin Smelter","Michael Page",2023-06-12 12:45:29
"linkedin","https://www.linkedin.com/jobs/view/3621208771","Manager Projects","McDermott International, Ltd",2023-06-12 12:45:34
"linkedin","https://www.linkedin.com/jobs/view/3560220160","Artificial Lift Field Specialist","SLB",2023-06-12 12:45:40
"linkedin","https://www.linkedin.com/jobs/view/3607291374","Turbine","PT Borneo Alumina Indonesia (PT BAI)",2023-06-12 12:45:44
"linkedin","https://www.linkedin.com/jobs/view/3613416841","Project Service Delivery Coordinator - Liner Hanger and Completion","Baker Hughes",2023-06-12 12:45:52
"linkedin","https://www.linkedin.com/jobs/view/3611017232","Rubber Lining Supervisor","The Weir Group PLC",2023-06-12 12:45:59
"linkedin","https://www.linkedin.com/jobs/view/3612101065","Field Specialist - Dual Logging While Drilling (LWD)/Directional Driller (DD)","Baker Hughes",2023-06-12 12:46:05
"linkedin","https://www.linkedin.com/jobs/view/3621358446","DATA PROGRAMMER ANALYST M/W","Eramet",2023-06-12 12:46:09
"linkedin","https://www.linkedin.com/jobs/view/3506336760","Senior Manager Supply Chain (SC)","McDermott International, Ltd",2023-06-12 12:46:15
"linkedin","https://www.linkedin.com/jobs/view/3599952170","Drill and Blast Superintendent - Coal Mining","Michael Page",2023-06-12 12:46:21
"linkedin","https://www.linkedin.com/jobs/view/3617649217","Civils / Structural Superintendent","Oil States International",2023-06-12 12:46:28
"linkedin","https://www.linkedin.com/jobs/view/3217305343","Senior Manager, Concentrating Technical Support","Freeport-McMoRan",2023-06-12 12:46:32
"linkedin","https://www.linkedin.com/jobs/view/3621361390","Long Term Mine Planning Superintendent H/F","Eramet",2023-06-12 12:46:38
"linkedin","https://www.linkedin.com/jobs/view/3629302921","Fitter","NOV",2023-06-12 12:46:44
"linkedin","https://www.linkedin.com/jobs/view/3481872101","Painter Foreman","McDermott International, Ltd",2023-06-12 12:46:51
"linkedin","https://www.linkedin.com/jobs/view/3629307993","Welder","NOV",2023-06-12 12:46:56
"linkedin","https://www.linkedin.com/jobs/view/3575865558","Mining Construction Superintendent (Mandarin Speaker)","Michael Page",2023-06-12 12:46:59
"linkedin","https://www.linkedin.com/jobs/view/3497097716","Fabrication Senior Rigger","McDermott International, Ltd",2023-06-12 12:47:06
"linkedin","https://www.linkedin.com/jobs/view/3516859397","Fabrication Senior Rigger","McDermott International, Ltd",2023-06-12 12:47:13
"linkedin","https://www.linkedin.com/jobs/view/3634227245","Tool Maintenance Technician I","Halliburton",2023-06-12 23:41:30
"linkedin","https://www.linkedin.com/jobs/view/3633973942","Technical Expert, Mill Mechanical Project and Shutdown","Freeport-McMoRan",2023-06-12 23:43:13
"linkedin","https://www.linkedin.com/jobs/view/3629509277","Sales Engineer","PT Wiraswasta Gemilang Indonesia",2023-06-12 23:43:16
"linkedin","https://www.linkedin.com/jobs/view/3633978318","Technical Expert, Underground Mining Training Specialist","Freeport-McMoRan",2023-06-12 23:43:22
"linkedin","https://www.linkedin.com/jobs/view/3622536075","SUPPLY CHAIN MANAGER M/W","Eramet",2023-06-12 23:43:28
"linkedin","https://www.linkedin.com/jobs/view/3629581461","Mine Maintenance Safety Superintendent","Eramet",2023-06-12 23:45:44
"linkedin","https://www.linkedin.com/jobs/view/3634246532","Indirect Channel Account Manager B2C","Shell",2023-06-12 23:45:48
"linkedin","https://www.linkedin.com/jobs/view/3625547818","Production Manager - Nickel","Michael Page",2023-06-13 00:04:15
"linkedin","https://www.linkedin.com/jobs/view/3575864692","Port Maintenance Manager - Coal Mining","Michael Page",2023-06-13 00:04:18
"linkedin","https://www.linkedin.com/jobs/view/3618911608","Foreman Mine plan (for Nikel & Coal)","PT. Bintang Mining Indonesia",2023-06-13 00:04:24
"linkedin","https://www.linkedin.com/jobs/view/3616189258","Short Term Mine Plan","Sinarmas Mining",2023-06-13 00:04:30
"linkedin","https://www.linkedin.com/jobs/view/3584925739","SR Electrician","PT. Mitrabara Adiperdana Tbk",2023-06-13 00:04:36
"linkedin","https://www.linkedin.com/jobs/view/3629772933","Asset Management Consultant","RPMGlobal",2023-06-13 00:04:39
"linkedin","https://www.linkedin.com/jobs/view/3605103827","Legal Manager (Mining) - East Kalimantan","Michael Page",2023-06-13 00:04:43
"linkedin","https://www.linkedin.com/jobs/view/3584929264","GL Infrastructure","PT. Mitrabara Adiperdana Tbk",2023-06-13 00:04:50
"linkedin","https://www.linkedin.com/jobs/view/3629144797","Supervisor Warehouse","Thiess",2023-06-13 00:07:13
"linkedin","https://www.linkedin.com/jobs/view/3572555684","MAIN ROAD FOREMAN","PT Straits Mining Service",2023-06-13 00:07:19
"linkedin","https://www.linkedin.com/jobs/view/3590946719","Foreman Produksi","PT Bima Putra Abadi Citranusa (Bomba Grup) - Site Lahat, Sumatra Selatan",2023-06-13 00:07:26
"linkedin","https://www.linkedin.com/jobs/view/3598339150","FOREMAN PRODUKSI","PT Mitra Abadi Mahakam",2023-06-13 00:07:30
"linkedin","https://www.linkedin.com/jobs/view/3602590618","Foreman Preparasi","PT. Kawei Sejahtera Mining",2023-06-13 00:07:37
"linkedin","https://www.linkedin.com/jobs/view/3610060176","Supervisor Lingkungan","PT Artha Cipta Langgeng",2023-06-13 00:07:43
"linkedin","https://www.linkedin.com/jobs/view/3598332963","SUPERVISOR PRODUKSI","PT Mitra Abadi Mahakam",2023-06-13 00:07:50
"linkedin","https://www.linkedin.com/jobs/view/3583050406","Area Sales Supervisor","PT Blue Gas Indonesia",2023-06-13 00:07:55
"linkedin","https://www.linkedin.com/jobs/view/3598336335","SUPERVISOR LOGISTIK","PT Mitra Abadi Mahakam",2023-06-13 00:08:02
"linkedin","https://www.linkedin.com/jobs/view/3601485483","Wellhead Supervisor","SPT Energy Group Indonesia",2023-06-13 00:08:09
"linkedin","https://www.linkedin.com/jobs/view/3583053117","Sales & Distribution Senior Supervisor","PT Blue Gas Indonesia",2023-06-13 00:08:13
"linkedin","https://www.linkedin.com/jobs/view/3614656170","Smelter Operation Readiness - Supervisor Sales Planning & Controlling","Freeport Indonesia",2023-06-13 00:08:19
"linkedin","https://www.linkedin.com/jobs/view/3629813809","11","PT Adaro Energy Indonesia Tbk",2023-06-13 00:10:27
"linkedin","https://www.linkedin.com/jobs/view/3611166549","HR Operations Supervisor (Mining, Head Office)","Michael Page",2023-06-13 00:10:34
