"source","job_id","job_url","job_title","job_company","job_location","job_salary","job_list_date","seniority_level","employment_type","industries","job_description","applicant","get_time"
"linkedin","3630776746","https://www.linkedin.com/jobs/view/3630776746","Service Specialist I-Testing Tools","Halliburton","Tangerang, Banten, Indonesia",NA,2023-05-14,"Entry level","Full-time","Oil and Gas","We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Under general supervision, performs all phases of the rigging up and down of Testing and Subsea Testing Tools (TT) service line equipment on work locations for the purpose of maintaining control of wellbore fluids during well testing and/or perforating and providing the customer with essential reservoir information by the use of (but not limited to): Drillstem Testing Tools. Regularly works within other Testing and Subsea product service lines on location and in the workshop. Routinely works in more than one type of well site (onshore and offshore) and base camp as assigned by Service Coordinator. Coordinates and oversees TT service line functions at the well site and field camp. Provides the planning necessary for the job including equipment set up, well site direction, and customer-related support activities. Responsible for the activities relative to maintaining, setting up, testing, and operating equipment at the customer location and field camp. Provides basic customer reports. Mentors and trains lower level Service Operators in areas of expertise. May be designated to become an Assessor for junior TT personnel. Monitors instruments and performs necessary calculations to assure quality of data/job. Consults with customers concerning services and products, promotes good customer relations at the well site, and assures customer satisfaction with results. Properly maintains assigned equipment and monitors compliance with safety regulations and procedures. Conducts pre-job toolbox safety meetings, reviews and verifies job plan with customer representative and manages any changes required. Checks and verifies equipment as per job plan, completes all job documentation to include: Job Ticket, Job History Report, CV Metrics/KPI, Job Log, Job Summary etc. Demonstrates understanding of down hole hydraulics, including basic job calculations, working knowledge of Blow Out Prevention (BOP) function and of basic reservoir – i.e., BHP, BHT, hydrocarbon characteristics. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations. Skills typically acquired through completion of high school or similar education and 4 years of Downhole Testing Tool experience. Must have successfully passed company tests or met task guideline requirements. Must have met the minimum competency requirements for the Service Operator II – Testing Tools. Must be knowledgable in most aspects of (TT) service line in the local area. Must be able to interpret Tool Engineering Drawings. Must be able to interpret basic pressure/temperature vs. time plots. Must be able to visually identify various tool components and ancillary equipment and assemblies as used in basic Shoot and Pull Jobs by type and size and explain function of each. Must be able to pressure test equipment safely. Must have demonstrated knowledge of basic rig function including, but not limited to the following: a) Weight Indicator - What is it used for, and how it relates to our work. b) Mud System - Weights of common well fluids - what effect they can have on our equipment. c) Limitations of mud pumps, pressure reading, strokes per/min - bbls/min. d) Basic rig manifold. Must be able to explain the local Halliburton Management System (HMS) process for Prepare Resources. Must be able to use Correction, Prevention and Improvement (CPI) System to document problems encountered or ideas for improvement. Ability to use MS Office (Excel, Word, Outlook) and navigate Halworld is required.

<strong>Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation</strong>.

<strong><u>Location</u></strong>

Kawasan Industri &amp; Pergudangan, Tangerang Selatan, Banten, 15314, Indonesia

<strong><u>Job Details</u></strong>

<strong>Requisition Number:</strong> 175313

<strong>Experience Level: </strong>Experienced Hire

<strong>Job Family:</strong> Operations

<strong>Product Service Line: </strong> Testing and Subsea

<strong>Full Time / Part Time: </strong>Full Time

<strong>Additional Locations for this position: </strong>

<u><strong>Compensation Information</strong></u>","Be among the first 25 applicants",2023-06-12 10:29:09
"linkedin","3625596659","https://www.linkedin.com/jobs/view/3625596659","Senior Safety Technician","Eramet","Halmahera, North Maluku, Indonesia",NA,2023-06-07,"Mid-Senior level","Full-time","Mining","<strong>Main purpose of the position

</strong>Reporting to the Safety Field Superintendent, the Senior Safety Technician is responsible for ensuring on the field, accident and incident prevention, risk assessment and controlling compliance of safety policies and procedures.

<strong>Scope of the position (key dimensions)

</strong>In the frame of the Sonic Bay project in Indonesia, the Senior Safety Technician works very closely with the construction team and with the Contractor’s supervisors, to promote a visible Safety management, field presence and ensure a safe working environment for the assigned location(s).

<strong>Major challenges faced / points of complexity

</strong>To oversee a Safety Management System that will promote a Healthy and Safe working environment for employees (including contractors) and visitors, and ensuring compliance to all

relevant standards, procedures, and legislation. To provide leadership and formulate strategies that ensures the continuous growth of the functional activities of the Health and Safety Department and to maximize efficiencies and profitability that align with the Project’s overall goals. Act as the senior resource personnel on health and safety issues and participates in business and / or project planning by offering technical and organizational expertise.

<strong><u>Major Responsibilities / Outputs

</u></strong>
 •  Actively work in the fields and ensure relevant Safety, Construction, Mining and other statutory Codes and Regulations remain in full compliance.
 • Actively promote the Safety Culture and Hazard Awareness on the Project by achieving zero recordable safety incidents, zero compliance breaches and continually review the safety standards and work practices for the workforce.
 • Identify and manage risk controls for all levels of the organization.
 • Ensure conformance with site-specific requirements, and Standard construction Procedures
 • Provide safety expertise and support for all site activities
 • Review the work method statements of the works under safety supervision
 • Ensure guidance and support to construction teams in JSA writing
 • Ensure that preventive measures defined in JSAs are relevant and applicable
 • Facilitate prestart meeting and or toolbox talks on a regular basis
 • Review the safety plans for each work under safety supervision responsibility 
 • Provide expertise and champion Field Risk Assessments and Risk Management processes
 • Oversee development, implementation, maintenance, and coordination of permit compliance
 • Facilitate the development, implementation, monitoring and updating of Standards of Procedures
 • Stop the work whenever required and help the construction team to identify safe solutions to restart the work
 • Implementation and management of regulatory and site-specific safety training
 • Ensure safe and efficient operations through leadership, coaching and compliance to company rules, policies, and procedures
 • Support practical objectives by minimizing risk and maximizing value through leadership focused on team safety, environmental and regulatory compliance
 • Develop and maintain positive relationships to deliver continuous and tangible improvements in H&amp;S, performance. 
 • Participate in and when necessary, lead investigations to determine root cause of accidents/injuries and assist with the development of appropriate corrective and preventative measures.
 • Conduct regular inspections monitoring area safety and environmental practices.
 • Address violations appropriately when needed.
 • Coordinate and conduct accident prevention/safety training programs as needed.
 • Give instructions and workplan to his team
 • Produce daily, weekly and monthly as per report templates provided by line manager.
 • Other tasks as instructed by the line manager.

<strong><u>Requirements

</u></strong>
 • Bachelor’s Degree in Occupational Health and Safety or tertiary qualification in Sciences/Engineering (Mining, Electrical, Mechanical).
 • Minimum of ten (10) years of health, safety and/or environmental experience required
 • Minimum of five (5) years’ experience with a proactive safety mature industrial company
 • Demonstrated good attendance and performance records with the ability to maintain these same standards required
 • Ability to drive results through proactive, self-directed action and initiative
 • Ability to write instructions and procedures
 • Must be computer literate; proficient with Microsoft Office - Outlook, Word, and Excel
 • Ability to investigate and analyse results.
 • Fluent in English, Mandarin is a plus 
 • Nebosh certification is a plus.
 • Good leadership, negotiation and influencing skills.
 • Excellent organizational, time management and office management skills required
 • Ability to work effectively as part of a team, as well as independently required
 • Demonstrated well-developed interpersonal skills, with a courteous and pleasant customer service focus required.
 • Excellent verbal and written communication skills required
 • Capability to multi-task, self-manage and self-motivate required

With operations on five continents and employees from more than 70 different countries, Eramet is an inherently diverse group. We are convinced that this diversity of talents and skills is an asset and we are actively engaged in recruiting the talented people who will be crucial to our success in the future, regardless of their gender, disability, age, social or cultural origin or sexual orientation. We are committed to offering all employees the support and development opportunities they need throughout their careers.","Be among the first 25 applicants",2023-06-12 10:29:17
"linkedin","3615709973","https://www.linkedin.com/jobs/view/3615709973","Technical Expert, Underground Drill Specialist","Freeport-McMoRan","Papua, Indonesia",NA,2023-05-23,"Mid-Senior level","Full-time","Mining","Title: Technical Expert, Underground Drill Specialist

Requisition ID: 124094

Location:

Papua, ID, 99967

Category: Maintenance

Description:

This position is to provide the technical resources necessary to support our Sandvik drill fleet in our underground mines. The Technical Expert Underground Drill Specialist will be the advisor on maintenance practices, procedures and supply technical knowledge to the national workforce on the mechanical and electrical systems.

<strong><em>Additional Responsibilities:</em></strong>

 • Assist, oversee and train mechanics in the proper methods of underground drill maintenance. 
 • Plan and schedule drill maintenance, preventative maintenance, and repairs. 
 • Inspect and develop courses of action to maintain drill fleet. 
 • Monitor and control budgets on the Sandvik drill fleets. 
 • Liaise with drill OEM’s to ensure equipment is maintained to standards and issues are resolved. 
 • Achieve budgeted costs and availabilities on the Sandvik drill fleets. 
 • Institute programs that advance drill mechanics knowledge and skills. 
 • Handle in-field repairs with assistance of national mechanics. 
 • Work with Operations to advance operator skill levels through timely feedback. 
 • Incorporate continuous improvement programs to lower costs and improve drill fleet performance.
 • Provide on the job training to mechanics and develop supervisors and senior staff on drill maintenance practices. 
 • Develop maintenance procedures and practices to maximize fleet availability.

<strong>Qualifications</strong>

 • Trade Certification or equivalent.
 • At least eight (8) years of experience in underground equipment maintenance, preferably in a role that extends past basic maintenance concepts.
 • Extensive experience in equipment maintenance with formal training from OEM’s.
 • Training in failure analysis, component rebuilds and conflict resolution.
 • Advanced experience in Failure Analysis.
 • Advanced experience in Tribology.
 • Advanced experience in PDM plans and process.
 • Strong supervisory and leadership skills.
 • Concern for safety and environment.
 • Willingness to work in a team environment.
 • Ability to work in a culturally diversified workforce.
 • Strong computer skills.
 • Strong analytical and conceptual thinking skills.
 • Highly proactive and achievement oriented.
 • Highly focused toward satisfying customer requirements.
 • Fluent in English (oral and written) and willing to learn Bahasa.

<strong>Preferred Qualifications</strong>

 • Working experience with Sandvik DD421 Drills.
 • Working experience with Sandvik DD4422I Dual control and DD422I Platinum Drills.
 • Working experience with DL422I and DL432I solos.

<strong>Criteria/Conditions</strong>

 • Copper Overseas Service Company ('COSCO') promotes a drug/ alcohol free work environment through the use of mandatory pre-employment drug testing and on-going random drug testing as per applicable Company Standards

COSCO has reviewed the jobs at its various office and operating sites and determined that many of these jobs include tasks or duties that could affect the safety or health of the employees performing these tasks or others. Accordingly, the Company has designated the following positions as safety-sensitive:

 • Positions within COSCO which are held by employees who receive Safety Training; or
 • Positions within COSCO which are held by employees who operate equipment or motor vehicles in furtherance of performing their COSCO job duties, including operating motor vehicles while on Company business or travel (for this purpose “motor vehicles” includes Company owned or leased motor vehicles and personal motor vehicles used by employees in furtherance of Company business or while on Company travel)

<u>Benefits</u>: Begin first day of employment

 • Medical, Dental and Vision Insurance
 • Relocation assistance/Ex-Pat incentives

<em>COSCO is an equal opportunity employer</em>

<strong>Job Segment: </strong> Mechanical Engineer, Electrical, Supply, Engineering, Operations","81 applicants",2023-06-12 10:29:26
"linkedin","3588248152","https://www.linkedin.com/jobs/view/3588248152","Bucket / Jetty Crane Operator","PT. TJK Power","Batam, Riau Islands, Indonesia",NA,2023-05-01,"Entry level","Full-time","Oil and Gas","Company Description: PT. TJK Power perusahaan penyedia tenaga listrik swasta berbahan bakar batu bara Job Description:

Bucket/Jetty Crane Operator","37 applicants",2023-06-12 10:29:35
"linkedin","3628527607","https://www.linkedin.com/jobs/view/3628527607","Business Development Geologist - Nickel","WeNetwork","Jakarta Metropolitan Area",NA,2023-06-07,"Mid-Senior level","Full-time","Staffing and Recruiting","<strong><u>About The Company

</u></strong>Our client is a large organization with multiple major sites and subsidiaries. As part of their expansion and new site acquisitions, this role will be working directly with the owner

<strong><u>Job Responsibilities

</u></strong>
 • Optimize operational performance through provision of best practice geological, geotechnical and nickel quality information to internal stakeholders
 • Aid in optimal safety, nickel recovery and quality
 • Supports reserves determination and economic evaluations
 • Responsible with communicating the technical content of our proposals to internal and external stakeholders, keeping stakeholders updated on project progress

<strong>Key Requirements:
</strong>
 • A relevant degree in Mining, Geology or Metallurgy
 • Minimum of 10 years of work experience in business development and/or geoscience , preferably in the mining industry with a core focus in nickel exploration
 • Experience in JORC and/or KCMI
 • In depth knowledge of the mining industry and legal requirements

<strong>Call for Action

</strong>This role would require leadership and strong communications, you will need to have the skills, knowledge, and influence to manage a diverse group of stakeholders- internal or external and technical. If you are keen, do apply to this role, do send in your updated CV to sean.chen@wenetworkasia.com","45 applicants",2023-06-12 10:36:39
"linkedin","3625546910","https://www.linkedin.com/jobs/view/3625546910","Resource Geologist Supervisor - Nickel","Michael Page","Surabaya, East Java, Indonesia",NA,2023-06-07,"Entry level","Full-time","Wholesale Furniture and Home Furnishings, Mining, and Oil and Gas","
 • Attractive Remuneration|Opportunity for Career Development

<strong>About Our Client

</strong>Our client is a Nickel Mining company with a large scale production

<strong>Job Description

</strong>The Resource Geologist is responsible for resource estimation. The successful candidate will be responsible to support the Resource Geology department.

<strong>The Successful Applicant
</strong>
 • POP certification
 • Minimum of 3 years working experience as a resource geologist in he nickel mining industry

<strong>What's on Offer
</strong>
 • Career progression
 • Attractive remuneration
 • Attractive roster

<strong>Contact: Michael Ray

</strong><strong>Quote job ref: JN-062023-6072546</strong>","Be among the first 25 applicants",2023-06-12 10:36:46
"linkedin","3603688388","https://www.linkedin.com/jobs/view/3603688388","Mine Geologist SPV","PT Ricobana Abadi","Berau, East Kalimantan, Indonesia",NA,2023-05-16,"Mid-Senior level","Full-time","Mining","Company Description: PT Ricobana Abadi adalah perusahaan jasa pertambangan yang sangat terintegrasi dan kami menawarkan berbagai macam solusi pertambangan mulai dari eksplorasi hingga eksploitasi serta transportasi. Kami memahami bahwa kondisi setiap klien berbeda-beda dan oleh karena itu kami selalu menganalisis dengan cermat kebutuhan klien dan kemudian menyesuaikan paket layanan yang secara tepat sesuai dengan kebutuhan dan harapan klien kami. Job Description:

Mine Geologist SPV","158 applicants",2023-06-12 10:36:55
"linkedin","3623946955","https://www.linkedin.com/jobs/view/3623946955","Senior Geologist","Thiess","Jakarta Metropolitan Area",NA,2023-06-02,"Mid-Senior level","Full-time","Mining","Job ID
928606

Job Type
Permanent Full Time

Location
Indonesia - Jakarta Head Office

Categories
Engineering - Other

Applications close
25 Jun 2023 SE Asia Standard Time

<strong><u>About Us</u></strong>

With a global business, we offer diverse and rewarding careers. We are committed to Thiess being a company and a culture where great people can excel and where they are developed and supported to reach their highest potential. Join our team today.

<strong><u>About The Role</u></strong>

In this role, you will:

 • Provide qualitative and quantitative data of the reserve and manipulate reserves to account for mining practices.
 • Liaise with client on preparation of working block model &amp; ensure relevant new pit data are incorporated into the block model.
 • Review and evaluate reconciliation reports and recoverable reserve status of quantity and quality, validate &amp; review models supplied by the client, report on model variances.
 • Prepare block models/data as required and actively communicate unexpected occurrences of faults, intrusions, folds, and similar geological disturbances.
 • Provide lithology data that we have and provide information of stratigraphy and structure data
 • Liaise with client and consultant geologists.

<strong> About you </strong>

 • Degree qualifications in a relevant discipline – Geology
 • Minimum of 5 years’ experience as a professional geologist in hard rock mining industry
 • High level of proficiency in MS Office and mining software i.e Micromine, Surpac, Vulcan, MineScape, etc.
 • Strong knowledge of mineral exploration and geological modelling
 • Strong interpersonal and communication skills for both oral and written in English/Bahasa.
 • An awareness of mine operation regulatory requirements.
 • Strong experience in Mine methodology, technology, and design concepts.
 • Have exposure to various commodities i.e., gold, nickel, iron ore, coal, etc

<strong> About us </strong>

We partner with our clients to deliver excellence in open cut and underground mining in Australia, Asia, Africa and the Americas. For more than 80 years, we’ve operated in diverse commodities, geologies, environments and cultures. Our team uses that insight to optimise solutions for each project and create lasting value for our clients and the communities we live and work in.

Visit our website to learn more – http://www.thiess.com

<strong> Driving a diverse, inclusive and respectful culture </strong>

We’re committed to safe, healthy and respectful workplaces. A place where everyone matters always.

We welcome and celebrate the differences and similarities among people including gender, identity, ethnicity, race, heritage, sexual orientation, disability, age, culture, religion, language, appearance, parental status and education.

We believe diverse experiences and perspectives not only make us more innovative, productive and engaged, but are crucial to our success.

If you require assistance to apply for this job because of disability or special needs, please contact us here . No other requests will be acknowledged.

<strong><u>How To Apply</u></strong>

This role is an opportunity to take the next step in your career. With our culture of recognition, development, and a stimulating and satisfying work environment, there is no better time to join Thiess.

To apply for this role, please click the ‘Apply’ button or the link below.

<strong><u>How To Apply</u></strong>

Applications close
25 Jun 2023 SE Asia Standard Time","134 applicants",2023-06-12 10:37:03
"linkedin","3598338186","https://www.linkedin.com/jobs/view/3598338186","S1 Geologi","PT Elsadai Servo Cons","Jakarta, Jakarta, Indonesia",NA,2023-05-10,"Entry level","Full-time","Business Consulting and Services","Company Description: PT. ELSADAI SERVO CONS merupakan perusahaan swasta yang telah berdiri sejak tahun 2011 dan bergerak dalam 2 wilayah Jasa Konsultan : Jasa Konstruksi di bidang Arsitektur, Jasa Inspeksi Teknis, Mekanikal, Elektrikal, Tata Lingkungan, Manajemen Proyek Jasa Non-Konstruksi di bidang Pendidikan, Pertanian, Pariwisata, Jasa Study, Penelitian dan Jasa Khusus Dengan lingkup pekerjaan Perencanaan, Pengawasan, Manajemen dan Study Job Description:

S1 Geologi","157 applicants",2023-06-12 10:37:11
"linkedin","3602546518","https://www.linkedin.com/jobs/view/3602546518","Exploration Geologist - Nickel / Iron Ore / Silica Sand","Michael Page","Kendari, South East Sulawesi, Indonesia",NA,2023-04-19,"Mid-Senior level","Full-time","Wholesale Furniture and Home Furnishings, Mining, and Oil and Gas","
 • Exposure in well-established company |Attractive remuneration package 

<strong>About Our Client

</strong>The company has been around for the past 50 years and functions as a comprehensive nickel mining and smelting enterprise that serves both local and international customers. The company manages all aspects of nickel mining operations, including exploration, development, production, transportation, trading, and sales of nickel ore.

<strong>Job Description
</strong>
 • Conduct research on previously published literature to understand geological processes and the distribution of minerals in various geological settings
 • Conduct fieldwork by researching geologic sites and previous findings, conducting surveys and mapping areas
 • Collect samples of minerals from sites using various sampling techniques and record the location, depth, and other relevant information
 • Enter and manage data in databases and use specialist software to process and analyze results
 • Provide advice and guidance to companies on the most appropriate sites for mineral exploration and extraction based on geological data
 • Prepare reports on findings, including geologic maps, cross-sections, and stratigraphic charts, and present recommendations to stakeholders
 • Collaborate with other geologists, engineers, and scientists to develop exploration plans and identify potential risks and challenges
 • Manage and maintain geological equipment and ensure compliance with health and safety regulations
 • Monitor and report on environmental impacts of exploration activities
 • Keep up to date with advances in geological exploration techniques and attend relevant conferences and training courses to enhance professional development

<strong>The Successful Applicant
</strong>
 • 3-5 years of proven experience as a Geologist with proficiency in various geological techniques such as mining, boring, and numerical modelling.
 • Familiarity with environmental regulations and an in-depth understanding of the attributes of Nickel, Iron Ore or Silica Sand
 • Strong data analysis and 3D modelling skills with an analytical mindset and a keen attention to detail.
 • Excellent oral and written communication skills, as well as organizational and teamwork abilities, and a degree in Geology or Geo-science.
 • Demonstrate excellent verbal and written communication skills for effective collaboration with all stakeholders.

<strong>What's on Offer
</strong>
 • Enjoy a dynamic and supportive working environment with a team of professionals.
 • Receive a competitive compensation package that includes significant allowances and bonus potential.

<strong>Contact: Aphrodita Darmadi

</strong><strong>Quote job ref: JN-042023-6012605</strong>","52 applicants",2023-06-12 10:37:18
"linkedin","3575865714","https://www.linkedin.com/jobs/view/3575865714","Mine Geologist Modelling - Nickel Mining","Michael Page","Surabaya, East Java, Indonesia",NA,2023-03-29,"Mid-Senior level","Full-time","Wholesale Furniture and Home Furnishings, Mining, and Oil and Gas","
 • Attractive Remuneration|Great Facilities

<strong>About Our Client

</strong>Our client is a nickel mining company with a significant production and promising new potential sites

<strong>Job Description

</strong>The Geologist will be responsible for the technical aspects of geology, resource estimation, database and nickel exploration. The successful candidate will be working in a professional team.

<strong>The Successful Applicant
</strong>
 • Bachelor degree of geology engineering
 • Minimum 3 years of experience in geology modelling
 • Experienced in the nickel laterite formation, profile and ore characteristic
 • Proficient in using Surpac
 • Technical knowledge of geology, resource estimation, database and nickel exploration
 • Willing to be placed in any working area

<strong>What's on Offer
</strong>
 • Attractive remuneration
 • Great facilities

<strong>Contact: Michael Ray

</strong><strong>Quote job ref: JN-122022-5878878</strong>","50 applicants",2023-06-12 10:37:27
"linkedin","3627724123","https://www.linkedin.com/jobs/view/3627724123","Geophysicist","Sonarfix Geodata Solutions","Bandung, West Java, Indonesia",NA,2023-06-12,NA,"Contract",NA,"

Sonarfix is seeking a skilled and motivated Geophysicist to join our team. We are a growing data processing company specializing in hydrographic and marine geophysical surveys. As a Geophysicist, you will play a vital role in our processing projects, contributing to the discovery and evaluation of valuable resources. If you are passionate about geophysics, have the necessary expertise, and enjoy working in both office and field environments, we invite you to apply.

<strong>Position:</strong> Geophysicist

<strong>Location:</strong> Bandung, West Java

<strong>Employment Type:</strong> Contract/ Temporary

<strong>Responsibilities:</strong>
 • Analyze seismic, sonar, magnetic, including the navigation to identify geological features, patterns, and anomalies.
 • Utilize software tools, including Oasis Montaj, Kingdom, and SonarWiz, to process and interpret geophysical data effectively.
 • Stay updated with industry advancements, emerging technologies, and best practices in geophysical exploration.

<strong>Requirements:</strong>
 • Bachelor's or Master's degree in Geophysics or a related field.
 • Strong knowledge and hands-on experience in seismic, sonar, and magnetometer data analysis.
 • Proficiency in software tools such as QGIS, Oasis Montaj, Kingdom, and SonarWiz.
 • Experience with sonar and echo sounder is highly desirable.
 • 1-3 years of relevant work experience, with a preference for candidates who have worked in the hydrographic and marine geophysical survey fields.
 • Familiarity with other geophysical software and tools commonly used in the industry is a plus.
 • Excellent analytical skills with the ability to interpret complex data sets accurately.
 • Effective communication skills to present findings and collaborate with diverse teams.
 • Demonstrated problem-solving abilities and attention to detail.
 • Willingness to work in a hybrid model, both in the office and field, as per project requirements.

If you are ready to contribute your skills and expertise to our team, please submit your resume. Kindly include 'Geophysicist Application' in the subject line.

Sonarfix is an equal opportunity employer. We value diversity and are committed to creating an inclusive workplace that embraces and celebrates differences. We encourage applications from all qualified individuals.

Please note that only selected candidates will be contacted for an interview. Thank you for your interest in joining our team of dedicated professionals. We look forward to reviewing your application.","Be among the first 25 applicants",2023-06-12 10:37:36
"linkedin","3616467668","https://www.linkedin.com/jobs/view/3616467668","Senior Exploration Geologist (Limestone)","Robert Walters","Jakarta Metropolitan Area",NA,2023-05-24,"Mid-Senior level","Full-time","Staffing and Recruiting","A leading oil and gas firm is seeking a Senior Exploration Geologist (Oil and Gas) to join their team in Jakarta. In this job, you will lead and manage geological exploration projects from initiation to completion.

<strong><u>About The Senior Exploration Geologist (Oil And Gas) Role</u></strong>

Reporting to the Operations Geologist, you will be responsible for providing technical expertise in geological mapping, sampling, and interpretation.

<strong><u>Key Responsibilities</u></strong>

 • Conduct field assessments and geological surveys to identify potential mineral deposits and evaluate their economic viability
 • Analyse geological data, including maps, satellite imagery, and geological samples, to interpret geological structures, mineralisation patterns, and potential exploration targets
 • Design and implement exploration programs, including drilling campaigns, trenching, and geophysical surveys, to gather additional data and validate geological models
 • Utilise advanced geological software and modelling tools to create accurate geological maps, cross-sections, and 3D models
 • Evaluate and manage exploration risks, including geological, environmental, and regulatory factors, to optimise exploration strategies and minimise potential setbacks

To succeed in this Senior Exploration Geologist (Oil and Gas) role, you must have extensive knowledge in limestone and stay updated with the latest industry trends, exploration techniques, and technological advancements to enhance exploration efficiency and effectiveness.

<strong><u>Key Requirements</u></strong>

 • Possesses 20-25 years' experience in geological exploration, preferably in the mining or natural resources industry
 • Proficient in geological mapping, field sampling, and interpretation of geological data
 • Experienced in limestone is a must
 • Well versed in English
 • Experience in managing exploration projects, including planning, budgeting, and resource allocation

This prominent company offers you a wide range of opportunities. They have the people and ethos to act with speed, innovation, enterprise and creativity.

If you are driven, determined and want to take the next step in your career, this is the role for you. The culture is demanding, but if you are confident and have can-do attitude, the potential rewards are significant. Great opportunities await the right person in this exciting Senior Exploration Geologist (Oil and Gas) job.

Apply today or contact me to discuss this new opportunity.","71 applicants",2023-06-12 10:37:45
"linkedin","3631953868","https://www.linkedin.com/jobs/view/3631953868","Geotechnical Engineer","Fugro","Jakarta, Jakarta, Indonesia",NA,2023-05-17,"Entry level","Full-time","Civil Engineering","<strong>Responsibilities</strong>

<strong>Job Description</strong>

 • Report to a senior engineer appointed by Department Head
 • Perform technical assignments with supervision
 • Assist Site Manager or Lead Project Engineer on routine and most non-routine field projects
 • Assist in planning and co-ordinating field investigations covering budget monitoring and job schedule
 • Assign laboratory tests and monitor progress through the laboratory
 • Evaluate field and lab test data, and develop foundation soil parameters
 • Produce field, laboratory and engineering reports for final review by senior staff
 • Assist other professionals with technical training, proposals, invoices and marketing
 • Assist senior engineers in related project administrative tasks
 • Perform other engineering related operations as and when required
 • Ensure that field projects meet HSE requirements 

<strong>Requirement</strong>

 • Degree in Civil Engineering or related discipline or equivalent in education and experience;
 • Has proven offshore and onshore experience (3 years min) in geotechnical engineering environment. It is expected that this would have been in support of the marine oil &amp; gas, offshore wind farm;
 • Report writing skills are necessary, and some ability with data processing would be preferred;
 • Strong ability in verbal and written English (technical) language is essential.
 • Has good teamwork, adaptability, and communication skills. 

<strong>Disclaimer For Recruitment Agencies</strong>

<strong>Fugro does not accept any unsolicited applications from recruitment agencies. Acquisition to Fugro Recruitment or any Fugro employee is not appreciated</strong><strong>.</strong>","Be among the first 25 applicants",2023-06-12 10:37:53
"linkedin","3628423511","https://www.linkedin.com/jobs/view/3628423511","Senior/Principal Geotechnical Engineer","Worley","West Sulawesi, Indonesia",NA,2023-06-06,"Not Applicable","Full-time","Professional Services","<em><strong>51,000 people. 49 countries. Over 120 office locations.</strong></em>

<em>We’re not just engineers. We’re a global team of data scientists, consultants, construction workers and innovators all working to create a better tomorrow. Every day, we help customers in energy, chemicals and resources get one step closer to solving our planet’s toughest issues. Climate change. The energy transition. Digital transformation. And how we can deliver a more sustainable world.?</em>

<em>Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. For more information, visit Worley.com</em>

<strong><u>Responsibilities</u></strong>

 • A keen focus on leading safety on site and the ability to operate and lead within a safety focused environment using safe working practices and OH&amp;S procedures
 • Substantial and demonstrable experience in the planning, execution, supervision and management of geotechnical site investigations including diamond drilling techniques and test pitting (understanding of geophysics and cone penetrometer testing would be an advantage). The role will be keenly focused on quality assurance of site data acquisition from geotechnical site investigation campaigns
 • A well-developed understanding of soil and rock laboratory testing
 • The ability of characterise soil and rock materials for engineering purposes
 • The ability to log borehole core and and test pit excavations according to international practice and guidelines. This is a key requirements
 • Preparation and review of geotechnical site investigation reports (including factual and interpretive), desktop assessments, proposals, estimates, specifications and bills of quantities. 
 • The ability to undertake geotechnical analyses and design calculations preferably utilizing a range of industry standard software tools for foundation design, evaluation of excavations and embankment stability
 • Sound knowledge and understanding of Indonesian Standards (SNI)
 • The ability to deliver high-quality technical reports (in English). 

<strong><u>Requirements</u></strong>

 • Possess excellent English written and verbal skills and the ability to communicate complex issues concisely in both reports, presentations and meetings
 • Hold previous experience in scoping, planning and executing site investigations, geotechnical interpretations, design and analysis and reporting for major projects 
 • Hold previous experience in an engineering consultancy environment
 • Have strong field experience and a demonstrated track-record of delivering safe and successful geotechnical site investigations
 • Possess the ability to work autonomously and deliver geotechnical solutions with minimal supervision and guidance that meeting the basis of design
 • Possess the capability to manage small to medium sized projects
 • Be prepared to work on site for extended periods of time - current roster is 10 weeks on and 2 weeks off 
 • Experience in previous earthworks/construction supervision roles 
 • Be able to work in a diligent, organized and structured manner
 • Relevant post graduate qualifications, with minimum 8 years relevant experience
 • Chartered status is highly desirable 

<em>This role is required to work from Kolaka, Southeast Sulawesi on a rotational basis of 10 weeks on and 2 weeks off </em>

<strong><u>What We Offer You</u></strong>

<em>Providing an agile culture and challenging work opportunities results in a positive work environment. Our people enjoy competitive compensation packages and a fun, personal, collaborative and safe working environment. We value equal employment opportunity and are committed to promoting fairness, equality and diversity.</em>

<em>Our policy is to conduct background checks for all candidates who accept an offer of employment with us.</em>

<strong><em>If you have the passion and talent to keep up, it's time to test the limits of what you can become. Find your future with Worley.</em></strong>

<strong><u>Company</u></strong>

Worley

<strong>Primary Location</strong>

IDN-Sulawesi

<strong>Job</strong>

Geotechnical Engineer Consultants

<strong>Schedule</strong>

Full-time

<strong>Employment Type</strong>

Employee

<strong>Job Level</strong>

Experienced

<strong>Job Posting</strong>

Jun 6, 2023

<strong>Unposting Date</strong>

Jul 6, 2023

<strong>Reporting Manager Title</strong>

Justin James","32 applicants",2023-06-12 10:38:02
